,datetime,By_or_at_Musk,variable,value
906,2022-08-10 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
907,2022-08-11 00:00:00+00:00,By @elonmusk,ukraine,0.0
908,2022-08-11 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
909,2022-08-12 00:00:00+00:00,By @elonmusk,ukraine,0.0
910,2022-08-12 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
911,2022-08-13 00:00:00+00:00,By @elonmusk,ukraine,0.0
912,2022-08-13 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
913,2022-08-14 00:00:00+00:00,By @elonmusk,ukraine,0.0
914,2022-08-14 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
915,2022-08-15 00:00:00+00:00,By @elonmusk,ukraine,0.0
916,2022-08-15 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
917,2022-08-16 00:00:00+00:00,By @elonmusk,ukraine,0.0
918,2022-08-16 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
919,2022-08-17 00:00:00+00:00,By @elonmusk,ukraine,0.0
920,2022-08-17 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
921,2022-08-18 00:00:00+00:00,By @elonmusk,ukraine,0.0
922,2022-08-18 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
923,2022-08-19 00:00:00+00:00,By @elonmusk,ukraine,0.0
924,2022-08-19 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
925,2022-08-20 00:00:00+00:00,By @elonmusk,ukraine,0.0
926,2022-08-20 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
927,2022-08-21 00:00:00+00:00,By @elonmusk,ukraine,0.0
928,2022-08-21 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
929,2022-08-22 00:00:00+00:00,By @elonmusk,ukraine,0.0
930,2022-08-22 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
931,2022-08-23 00:00:00+00:00,By @elonmusk,ukraine,0.0
932,2022-08-23 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
933,2022-08-24 00:00:00+00:00,By @elonmusk,ukraine,0.0
934,2022-08-24 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
935,2022-08-25 00:00:00+00:00,By @elonmusk,ukraine,0.0
936,2022-08-25 00:00:00+00:00,Mentions @elonmusk,ukraine,0.5015418050006922
937,2022-08-26 00:00:00+00:00,By @elonmusk,ukraine,0.0
938,2022-08-26 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
939,2022-08-27 00:00:00+00:00,By @elonmusk,ukraine,0.0
940,2022-08-27 00:00:00+00:00,Mentions @elonmusk,ukraine,0.3088671139571545
941,2022-08-28 00:00:00+00:00,By @elonmusk,ukraine,0.0
942,2022-08-28 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
943,2022-08-29 00:00:00+00:00,By @elonmusk,ukraine,0.0
944,2022-08-29 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
945,2022-08-30 00:00:00+00:00,By @elonmusk,ukraine,0.0
946,2022-08-30 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
947,2022-08-31 00:00:00+00:00,By @elonmusk,ukraine,0.0
948,2022-08-31 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
949,2022-09-01 00:00:00+00:00,By @elonmusk,ukraine,0.0
950,2022-09-01 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
951,2022-09-02 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
952,2022-09-03 00:00:00+00:00,By @elonmusk,ukraine,0.0
953,2022-09-03 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
954,2022-09-04 00:00:00+00:00,By @elonmusk,ukraine,0.0
955,2022-09-04 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
956,2022-09-05 00:00:00+00:00,By @elonmusk,ukraine,0.0
957,2022-09-05 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
958,2022-09-06 00:00:00+00:00,By @elonmusk,ukraine,0.0
959,2022-09-06 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
960,2022-09-07 00:00:00+00:00,By @elonmusk,ukraine,0.0
961,2022-09-07 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
962,2022-09-08 00:00:00+00:00,By @elonmusk,ukraine,0.0
963,2022-09-08 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
964,2022-09-09 00:00:00+00:00,By @elonmusk,ukraine,0.0
965,2022-09-09 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
966,2022-09-10 00:00:00+00:00,By @elonmusk,ukraine,0.0
967,2022-09-10 00:00:00+00:00,Mentions @elonmusk,ukraine,0.5472320093698911
968,2022-09-11 00:00:00+00:00,By @elonmusk,ukraine,0.0
969,2022-09-11 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
970,2022-09-12 00:00:00+00:00,By @elonmusk,ukraine,0.0
971,2022-09-12 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
972,2022-09-13 00:00:00+00:00,By @elonmusk,ukraine,0.0
973,2022-09-13 00:00:00+00:00,Mentions @elonmusk,ukraine,0.5581192286194968
974,2022-09-14 00:00:00+00:00,By @elonmusk,ukraine,0.0
